unique_id,treatment,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12,round_13,round_14,round_15,round_16,round_17
kendrickklduckworth,8,1769,424,257,307,361,258,710,280,328,336,312,352,303,347,309,320,288
kendrickklduckworth,8,1238,369,319,248,288,423,289,510,567,569,343,392,387,6599,447,342,504
kendrickklduckworth,8,2010,392,465,344,319,407,328,311,327,399,337,312,352,337,313,272,295
kendrickklduckworth,8,2095,336,392,295,272,384,312,263,304,305,289,296,248,209,513,326,382
kendrickklduckworth,8,1342,392,488,736,303,313,248,232,329,280,344,336,274,352,382,319,448
kendrickklduckworth,8,2526,344,313,296,287,344,296,384,256,367,232,232,319,304,303,328,305
kendrickklduckworth,8,1101,352,448,448,248,232,360,297,223,233,184,232,441,1127,297,280,232
kendrickklduckworth,8,896,240,216,193,191,168,3368,263,360,240,3208,1320,1030,3856,391,3039,24947
kendrickklduckworth,8,1373,462,352,272,400,327,319,320,352,527,408,840,735,3272,376,431,463
kendrickklduckworth,8,2432,1480,504,887,2079,783,304,327,439,752,1288,480,279,444,480,448,1111
